Time,Background,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10
56,2883.671,2913.694,2928.115,2906.401,2914.192,2997.774,2896.404,2916.024,3019.429,2917.368,2912.033
57,2885.527,2912.301,2927.942,2905.708,2916.688,3000.491,2896.603,2913.121,3018.5,2915.838,2910.608
58,2888.945,2916.296,2929.955,2911.964,2917.144,3000.203,2895.897,2916.694,3027.083,2919.64,2910.667
59,2886.76,2918.87,2923.891,2911,2912.966,2995.955,2900.507,2914.96,3026.865,2921.096,2912.758
60,2881.24,2919.56,2925.494,2908.219,2915.558,2994.542,2898.132,2913.129,3030.128,2919.592,2910.783
61,2884.918,2921.19,2929.833,2903.292,2916.279,2986.22,2899.279,2919.589,3029.731,2918.294,2910.504
62,2885.11,2918.63,2929.891,2902.847,2918.072,2983.446,2895.956,2917.419,3025.635,2917.215,2910.429
63,2879.993,2914.495,2929.667,2906.219,2916.673,2976.78,2893.654,2920.29,3016.115,2919.43,2909.529
64,2886.699,2915.449,2926.897,2905.679,2918.519,2975.271,2894.177,2917.564,3023.006,2919.009,2906.663
65,2888.041,2918.37,2929.949,2911.591,2916.942,2973.667,2899.14,2917.04,3034.077,2918.263,2908.946
66,2883.466,2919.19,2928.647,2906.029,2918.75,2989.147,2898.552,2921.371,3029.019,2916.544,2905.879
67,2887.082,2913.44,2928.583,2904.467,2920.558,2985.113,2897.059,2915.629,3031.859,2915.978,2908.096
68,2885.856,2918.444,2929.84,2905.883,2914.486,2975.187,2894.448,2922.024,3023.25,2912.706,2910.6
69,2885.185,2916.782,2926.333,2904.942,2917.211,2971.209,2895.897,2911.395,3025.474,2917.82,2908.317
70,2880.794,2919.009,2928.263,2904.956,2916.755,2991.706,2899.61,2922.186,3020.09,2921.926,2917.404
71,2884.61,2914.801,2923.891,2905.051,2918.385,2999.542,2896.052,2920.702,3023.968,2917.68,2909.679
72,2882.706,2919.278,2929.282,2903.788,2914.361,2997.226,2895.353,2915.218,3021.654,2920.421,2912.758
73,2884.089,2918.898,2930.417,2903.255,2917.702,2984.305,2897.544,2914.734,3009.378,2920.474,2912.046
74,2886.904,2919.449,2929.981,2907.613,2916.221,2977.429,2897.823,2918.242,2999.539,2919.627,2915.671
75,2890.425,2923.556,2929.372,2912.723,2920.159,2982.158,2901.39,2921.879,3012.244,2920.873,2917.363
76,2885.294,2921.116,2923.314,2904.504,2918.505,2988.141,2898.14,2917.081,3006.154,2919.053,2915.017
77,2889.767,2924.412,2931.801,2909.803,2919.543,3002.062,2896.331,2918.597,3000.192,2922.601,2917.375
78,2885.527,2920.551,2928.769,2903.847,2917.327,3006.842,2896.493,2918.339,2999.711,2919.654,2915.442
79,2885.116,2917.241,2928.853,2903.343,2916.861,2997.475,2895.618,2914.823,2995.635,2919.373,2911.783
80,2883.466,2918.995,2928.782,2905.978,2918.659,2993.672,2899.419,2918.306,2994.737,2919.333,2913.658
81,2884.644,2917.032,2924.789,2906.423,2920.558,2986.062,2899.662,2916.427,2987.128,2920.487,2915.367
82,2887.349,2915.931,2927.404,2904.715,2914.221,2989.712,2900.823,2922.145,2983.256,2920.759,2915.346
83,2885.699,2919.056,2928.109,2904.533,2915.918,2989.701,2898.934,2917.621,2979.378,2920.298,2914.992
84,2882.445,2919.06,2925.961,2904.051,2914.438,2990.153,2899.125,2917.686,2976.205,2919.298,2912.717
85,2881.137,2917.861,2930.417,2901.504,2910.5,2982.147,2894.493,2913.137,2978.064,2920.136,2913.646
86,2884.041,2921.606,2924.827,2908.482,2915.812,2982.65,2897.169,2919.992,2969.128,2921.022,2915.262
87,2885.753,2916.546,2927.045,2908.891,2911.899,2987.356,2900.566,2920.629,2971.282,2919.035,2916.579
88,2885.973,2923.06,2929.051,2904.153,2912.178,2992.972,2901.456,2920.064,2973.66,2921.763,2918.783
89,2888.082,2922.606,2929.731,2910.095,2910.101,2997.192,2899.735,2918.169,2968.34,2923.732,2920.083
90,2882.438,2921.769,2931.013,2907.204,2911.938,2992.096,2901.765,2915.323,2971.577,2921.307,2920.904
91,2885.966,2919.171,2928.801,2906.343,2911.51,2992.78,2899.934,2918.605,2969.269,2917.627,2921.188
92,2884.521,2920.468,2931.397,2904.985,2905.289,2994.26,2896.507,2917.339,2974.635,2921.373,2918.296
